sku,merchant,model_key,title,brand,category,price,currency,cpu,ram,storage,screen_in,weight_kg,battery_wh,gtin,condition,stock
VOL-0001,voltway,tb14g3-i5,ThinkBook 14 G3 i5 16GB 512GB,Lenovo,laptop,1455,AUD,i5-1335U,16GB,512GB,14,1.4,60,9312001000011,new,10
VOL-0002,voltway,tb14g3-i5,ThinkBook 14  G3  i5 16 GB 512GB,LENOVO,laptop,1455.0,AUD,i5-1335U,16 GB,512 GB,14.0,1.4,60,9312001000011,new,17
CIT-0003,citycircuit,tb14g3-i5,ThinkBook 14  G3  i5 16 GB 512GB,LENOVO,laptop,"1,357.03",AUD,i5-1335U,16 GB,512 GB,14.0,1.4,60,9312001000011,new,24
VOL-0004,voltway,tb14g4-i7,ThinkBook 14 G4 i7 16GB 1TB,lenovo,laptop,$1922.96,AUD,i7-1455U,16384MB,1TB,"14""",,60,9312001000028,new,31
CIT-0005,citycircuit,tb14g4-i7,ThinkBook 14 G4 i7 16GB 1TB,lenovo,laptop,1793.5,AUD,i7-1455U,16384MB,1TB,"14""",,60,9312001000028,new,38
NOR-0006,northgear,tb14g4-i7,ThinkBook 14 G4 i7 16GB 1TB,lenovo,laptop,"1,849.00",AUD,i7-1455U,16384MB,1TB,"14""",,60,9312001000028,new,5
CIT-0007,citycircuit,xps13-9340,XPS 13 9340 16GB 512GB,Dell,laptop,$2133.03,AUD,Ultra 7 155H,16GB,512GB,13.4,1.19,55,9312001000035,new,12
NOR-0008,northgear,xps13-9340,XPS 13 9340 16GB 512GB,Dell,laptop,2199.0,AUD,Ultra 7 155H,16GB,512GB,13.4,1.19,55,9312001000035,new,19
VOL-0009,voltway,xps13-9340,XPS 13 (9340) 16 GB 512 GB,Dell,laptop,2287,AUD,Ultra 7 155H,16 GB,512GB,13.4,1.19,55,9312001000035,new,26
CIT-0010,citycircuit,xps13-9340,XPS 13 (9340) 16 GB 512 GB,Dell,laptop,$2133.03,AUD,Ultra 7 155H,16 GB,512GB,13.4,1.19,55,9312001000035,new,33
NOR-0011,northgear,xps13-9340,XPS 13 (9340) 16 GB 512 GB,Dell,laptop,2199.0,AUD,Ultra 7 155H,16 GB,512GB,13.4,1.19,55,9312001000035,new,40
VOL-0012,voltway,mba13-m3,MacBook Air 13 M3 16GB 512GB,Apple,laptop,2079,AUD,M3,16GB,512GB,13.6,1.24,52,9312001000042,new,7
VOL-0013,voltway,mba15-m3,MacBook Air 15 M3 16GB 512GB,Apple,laptop,2391.0,AUD,M3,16 GB,512GB,15.3,1.51,66,9312001000059,new,14
CIT-0014,citycircuit,mba15-m3,MacBook Air 15 M3 16GB 512GB,Apple,laptop,"2,230.03",AUD,M3,16 GB,512GB,15.3,1.51,66,9312001000059,new,21
VOL-0015,voltway,zb14-g11,ZBook Firefly 14 G11 32GB 1TB,HP,laptop,$3222.96,AUD,Ultra 7 165H,32GB,1TB,14,1.39,56,9312001000066,new,28
CIT-0016,citycircuit,zb14-g11,ZBook Firefly 14 G11 32GB 1TB,HP,laptop,3006.0,AUD,Ultra 7 165H,32GB,1TB,14,1.39,56,9312001000066,new,35
