sku_id,merchant,model_key,title,category,shelf_price_aud,gtin,in_stock,description
CC-101,citycircuit,usbc-charger-65w,USB-C Charger 65W,chargers,24.99,9312345001019,true,Budget 65W USB-C power adapter with a single port
NG-101,northgear,usbc-charger-65w,USB-C Charger 65W GaN,chargers,27.99,9312345001019,true,65W GaN USB-C charger in a compact travel body
VW-101,voltway,usbc-charger-65w,USB-C Charger 65W GaN,chargers,29.99,9312345001019,true,65W GaN USB-C charger with dual-port passthrough
CC-102,citycircuit,laptop-stand-alu,Laptop Stand,accessories,29.99,9312345001026,true,Aluminium laptop stand at a fixed height
NG-102,northgear,laptop-stand-alu,Laptop Stand Adjustable,accessories,32.99,9312345001026,true,Adjustable aluminium laptop stand
VW-102,voltway,laptop-stand-alu,Laptop Stand Adjustable,accessories,34.99,9312345001026,true,Adjustable aluminium laptop stand with a cable channel
CC-103,citycircuit,mouse-bt-ergo,Wireless Mouse,peripherals,17.99,9312345001033,true,Bluetooth wireless mouse
NG-103,northgear,mouse-bt-ergo,Ergonomic Wireless Mouse,peripherals,21.49,9312345001033,true,Ergonomic Bluetooth mouse with a 2.4GHz dongle
VW-103,voltway,mouse-bt-ergo,Ergonomic Wireless Mouse,peripherals,23.99,9312345001033,true,Ergonomic Bluetooth mouse with a rechargeable cell
CC-104,citycircuit,usb-hub-7p,USB Hub 7-port,accessories,34.99,9312345001040,true,USB 3.0 seven-port hub
NG-104,northgear,usb-hub-7p,USB Hub 7-port Powered,accessories,37.99,9312345001040,true,Powered USB 3.0 hub with seven ports
VW-104,voltway,usb-hub-7p,USB Hub 7-port Powered,accessories,39.99,9312345001040,true,Powered USB 3.0 hub with per-port switching
CC-105,citycircuit,hdmi-2m,HDMI Cable 2m,cables,8.99,9312345001057,true,High-speed HDMI 2.1 cable two metres
NG-105,northgear,hdmi-2m,HDMI Cable 2m Braided,cables,10.49,9312345001057,true,Braided HDMI 2.1 cable two metres
VW-105,voltway,hdmi-2m,HDMI Cable 2m Braided,cables,11.99,9312345001057,true,Braided HDMI 2.1 cable two metres certified to 48Gbps
CC-106,citycircuit,powerbank-20k,Power Bank 20000mAh,chargers,49.99,9312345001064,true,20000mAh power bank with USB-A output
NG-106,northgear,powerbank-20k,Power Bank 20000mAh PD,chargers,54.99,9312345001064,true,20000mAh power bank with 30W USB-C PD
VW-106,voltway,powerbank-20k,Power Bank 20000mAh PD,chargers,59.99,9312345001064,true,20000mAh power bank with 65W PD and pass-through charging
CC-107,citycircuit,kb-mech-tkl,Mechanical Keyboard TKL,peripherals,89.99,9312345001071,true,Tenkeyless wired mechanical keyboard
NG-107,northgear,kb-mech-tkl,Mechanical Keyboard TKL,peripherals,99.99,9312345001071,true,Tenkeyless mechanical keyboard with hot-swap switches
VW-107,voltway,kb-mech-tkl,Mechanical Keyboard TKL,peripherals,109.99,9312345001071,true,Tenkeyless hot-swap mechanical keyboard with Bluetooth and wired modes
CC-108,citycircuit,webcam-1080p,Webcam 1080p,peripherals,44.99,9312345001088,true,1080p webcam with fixed focus
NG-108,northgear,webcam-1080p,Webcam 1080p Autofocus,peripherals,49.99,9312345001088,true,1080p autofocus webcam with dual microphones
VW-108,voltway,webcam-1080p,Webcam 1080p Autofocus,peripherals,54.99,9312345001088,true,1080p autofocus webcam with dual mics and a privacy shutter
